age,dic
60000.0,0.002012
55935.0,0.002055
55934.7,0.00205
55934.5,0.00205
55934.1,0.002055
55933.9,0.002061
55933.6,0.002067
55933.3,0.002075
55933.0,0.002083
55932.7,0.00209
55932.4,0.002096
55932.1,0.002101
55931.8,0.002109
55931.5,0.002114
55931.2,0.002118
55931.0,0.002123
55930.6,0.002129
55930.3,0.002134
55930.0,0.002139
55929.7,0.002144
55929.4,0.00215
55929.1,0.002156
55928.8,0.00216
55928.5,0.002163
55928.1,0.002166
55927.8,0.002169
55927.3,0.002172
55927.1,0.002174
55926.8,0.002176
55926.4,0.002179
55925.9,0.002182
55925.4,0.002186
55925.1,0.002188
55924.8,0.00219
55924.4,0.002192
55924.0,0.002194
55923.5,0.002197
55922.8,0.002201
55922.0,0.002205
55921.2,0.002209
55920.3,0.002212
55919.4,0.002216
55918.5,0.00222
55917.5,0.002223
55916.5,0.002227
55915.5,0.00223
55914.4,0.002233
55913.3,0.002236
55912.2,0.002239
55911.0,0.002241
55909.7,0.002244
55908.5,0.002246
55907.3,0.002249
55906.1,0.002251
55904.8,0.002253
55903.5,0.002255
55902.1,0.002257
55900.6,0.002259
55899.0,0.002261
55897.4,0.002263
55895.6,0.002264
55893.9,0.002266
55891.9,0.002268
55890.0,0.00227
55888.2,0.002271
55886.4,0.002273
55885.2,0.002273
55883.9,0.002274
55882.6,0.002275
55881.0,0.002276
55879.3,0.002277
55877.6,0.002279
55875.9,0.00228
55874.2,0.002281
55872.4,0.002282
55870.6,0.002283
55868.8,0.002284
55867.0,0.002285
55865.3,0.002285
55863.5,0.002286
55861.7,0.002287
55859.8,0.002288
55858.0,0.002289
55856.1,0.00229
55854.1,0.002291
55852.1,0.002292
55850.1,0.002293
55848.0,0.002294
55845.8,0.002295
55843.6,0.002296
55841.3,0.002297
55838.9,0.002298
55836.4,0.002299
55833.8,0.0023
55831.0,0.002301
55828.3,0.002302
55825.6,0.002303
55823.0,0.002304
55820.4,0.002305
55818.0,0.002306
55815.6,0.002307
55813.4,0.002308
55811.2,0.002309
55809.1,0.00231
55807.1,0.00231
55805.1,0.002311
55804.8,0.002311
55804.5,0.002311
55804.3,0.002311
55803.9,0.00231
55803.4,0.00231
55802.7,0.002309
55802.1,0.002309
55801.3,0.002309
55800.3,0.002308
55799.2,0.002307
55797.9,0.002306
55796.7,0.002305
55795.5,0.002303
55795.2,0.002303
55794.9,0.002306
55794.6,0.002327
55794.3,0.002338
55793.9,0.002343
55793.6,0.002344
55793.3,0.002344
55792.8,0.002344
55792.3,0.002343
55791.6,0.002341
55790.6,0.002339
55789.6,0.002336
55788.5,0.002334
55787.5,0.002332
55786.5,0.00233
55785.6,0.002328
55784.7,0.002326
55784.0,0.002325
55783.2,0.002323
55782.7,0.002322
55782.3,0.002321
55781.7,0.00232
55781.3,0.002319
55780.7,0.002318
55780.4,0.002317
55780.1,0.002316
55779.7,0.002315
55779.3,0.002314
55778.7,0.002313
55778.1,0.002312
55777.4,0.00231
55776.4,0.002308
55775.3,0.002305
55774.1,0.002302
55773.4,0.002301
55772.8,0.002299
55772.0,0.002297
55771.1,0.002295
55770.2,0.002293
55769.2,0.002291
55768.3,0.002288
55767.5,0.002286
55766.7,0.002284
55765.9,0.002282
55765.6,0.002281
55765.2,0.002281
55764.8,0.00228
55764.5,0.002279
55764.1,0.002278
55763.6,0.002277
55763.1,0.002275
55762.3,0.002273
55761.9,0.002272
55761.4,0.002271
55760.8,0.00227
55760.1,0.002268
55759.2,0.002266
55758.1,0.002263
55756.9,0.00226
55755.7,0.002257
55755.1,0.002255
55754.8,0.002255
55754.5,0.002254
55753.9,0.002254
55753.4,0.002253
55752.7,0.002252
55751.8,0.00225
55750.6,0.002249
55749.6,0.002247
55748.5,0.002246
55747.2,0.002244
55745.9,0.002243
55744.5,0.002241
55743.1,0.00224
55741.5,0.002238
55739.8,0.002237
55737.8,0.002235
55735.8,0.002234
55733.6,0.002233
55731.9,0.002231
55731.4,0.002231
55730.9,0.002231
55730.1,0.00223
55728.9,0.00223
55727.4,0.002229
55725.8,0.002228
55724.0,0.002227
55721.8,0.002226
55718.9,0.002224
55715.4,0.002223
55711.3,0.002221
55707.3,0.002219
55703.3,0.002218
55699.4,0.002216
55695.5,0.002215
55691.6,0.002213
55687.6,0.002212
55685.0,0.002211
55185.0,0.002094
54055.0,0.002064
54055.0,0.002064
54055.0,0.002064
54055.0,0.002064
54054.9,0.002064
54054.9,0.002065
54054.9,0.002065
54054.8,0.002065
54054.7,0.002066
54054.5,0.002067
54054.2,0.002068
54053.9,0.00207
54053.4,0.002072
54053.0,0.002075
54052.6,0.002077
54052.2,0.002079
54051.8,0.002081
54051.6,0.002083
54051.3,0.002084
54051.0,0.002087
54050.6,0.00209
54050.1,0.002093
54049.7,0.002096
54049.6,0.002097
54049.4,0.002098
54049.3,0.002099
54049.1,0.0021
54048.9,0.002102
54048.5,0.002105
54048.2,0.002107
54047.9,0.00211
54047.5,0.002113
54047.2,0.002115
54047.0,0.002117
54046.7,0.002119
54046.4,0.002122
54046.0,0.002125
54045.6,0.002129
54045.1,0.002133
54044.7,0.002137
54044.3,0.00214
54043.9,0.002144
54043.5,0.002147
54043.0,0.002151
54042.5,0.002156
54041.9,0.002161
54041.4,0.002166
54040.7,0.002172
54040.1,0.002178
54039.4,0.002185
54038.7,0.002191
54037.9,0.002198
54037.2,0.002205
54036.5,0.002212
54035.8,0.002219
54035.0,0.002226
54035.0,0.002226
54035.0,0.002226
54035.0,0.002226
54035.0,0.002226
54034.9,0.002226
54034.9,0.002226
54034.9,0.002226
54034.8,0.002227
54034.7,0.002227
54034.5,0.002228
54034.2,0.00223
54033.9,0.002231
54033.5,0.002233
54033.1,0.002235
54032.7,0.002237
54032.2,0.002239
54031.8,0.002241
54031.3,0.002243
54030.8,0.002244
54030.5,0.002245
54030.2,0.002246
54029.8,0.002247
54029.3,0.002249
54028.7,0.00225
54028.2,0.002252
54027.6,0.002253
54027.0,0.002254
54026.3,0.002255
54026.0,0.002256
54025.6,0.002256
54025.1,0.002257
54024.4,0.002258
54023.8,0.002258
54023.0,0.002259
54022.3,0.002259
54021.5,0.00226
54020.7,0.00226
54019.9,0.00226
54018.9,0.00226
54018.0,0.00226
54016.9,0.00226
54015.8,0.002259
54014.5,0.002259
54013.1,0.002258
54011.4,0.002257
54010.5,0.002256
54009.7,0.002255
54008.4,0.002254
54006.9,0.002252
54005.2,0.00225
54003.5,0.002248
54001.8,0.002246
54000.1,0.002244
53998.6,0.002242
53997.0,0.00224
53995.5,0.002238
53993.9,0.002236
53992.4,0.002233
53990.9,0.002231
53989.5,0.002229
53988.0,0.002227
53986.5,0.002225
53985.1,0.002223
53983.7,0.002221
53982.2,0.002218
53980.8,0.002216
53979.1,0.002214
53977.6,0.002212
53976.2,0.002209
53974.5,0.002207
53973.1,0.002205
53971.5,0.002202
53970.0,0.0022
53968.4,0.002198
53966.9,0.002196
53965.4,0.002193
53963.7,0.002191
53962.2,0.002189
53960.9,0.002187
53959.3,0.002184
53957.6,0.002182
53955.9,0.002179
53955.0,0.002178
50000.0,0.002182