"","dic.LOSCAR.x","dic.LOSCAR.y","dic.LOSCAR.2s","dic.LOSCAR.source"
"1",60000,0.002012,3e-04,"ZT19"
"2",55935,0.002055,3e-04,"LOSCAR - this study"
"3",55934.7,0.002049,3e-04,"LOSCAR - this study"
"4",55934.5,0.002049,3e-04,"LOSCAR - this study"
"5",55934.1,0.002052,3e-04,"LOSCAR - this study"
"6",55933.8,0.002057,3e-04,"LOSCAR - this study"
"7",55933.6,0.002063,3e-04,"LOSCAR - this study"
"8",55933.3,0.002069,3e-04,"LOSCAR - this study"
"9",55933,0.002076,3e-04,"LOSCAR - this study"
"10",55932.6,0.002083,3e-04,"LOSCAR - this study"
"11",55932.4,0.002088,3e-04,"LOSCAR - this study"
"12",55932.1,0.002094,3e-04,"LOSCAR - this study"
"13",55931.7,0.002101,3e-04,"LOSCAR - this study"
"14",55931.4,0.002106,3e-04,"LOSCAR - this study"
"15",55931.1,0.002111,3e-04,"LOSCAR - this study"
"16",55930.8,0.002115,3e-04,"LOSCAR - this study"
"17",55930.5,0.002119,3e-04,"LOSCAR - this study"
"18",55930,0.002127,3e-04,"LOSCAR - this study"
"19",55929.7,0.002131,3e-04,"LOSCAR - this study"
"20",55929.4,0.002135,3e-04,"LOSCAR - this study"
"21",55929.1,0.00214,3e-04,"LOSCAR - this study"
"22",55928.8,0.002143,3e-04,"LOSCAR - this study"
"23",55928.4,0.002145,3e-04,"LOSCAR - this study"
"24",55928.1,0.002146,3e-04,"LOSCAR - this study"
"25",55927.7,0.002148,3e-04,"LOSCAR - this study"
"26",55927.5,0.00215,3e-04,"LOSCAR - this study"
"27",55927.2,0.002151,3e-04,"LOSCAR - this study"
"28",55926.8,0.002153,3e-04,"LOSCAR - this study"
"29",55926.3,0.002156,3e-04,"LOSCAR - this study"
"30",55925.7,0.002159,3e-04,"LOSCAR - this study"
"31",55924.9,0.002163,3e-04,"LOSCAR - this study"
"32",55924.1,0.002167,3e-04,"LOSCAR - this study"
"33",55923.2,0.002171,3e-04,"LOSCAR - this study"
"34",55922.2,0.002176,3e-04,"LOSCAR - this study"
"35",55921.1,0.00218,3e-04,"LOSCAR - this study"
"36",55920.5,0.002182,3e-04,"LOSCAR - this study"
"37",55919.9,0.002184,3e-04,"LOSCAR - this study"
"38",55919.1,0.002186,3e-04,"LOSCAR - this study"
"39",55918.1,0.00219,3e-04,"LOSCAR - this study"
"40",55916.9,0.002193,3e-04,"LOSCAR - this study"
"41",55915.7,0.002196,3e-04,"LOSCAR - this study"
"42",55914.4,0.0022,3e-04,"LOSCAR - this study"
"43",55913,0.002202,3e-04,"LOSCAR - this study"
"44",55911.7,0.002205,3e-04,"LOSCAR - this study"
"45",55910.3,0.002208,3e-04,"LOSCAR - this study"
"46",55908.8,0.00221,3e-04,"LOSCAR - this study"
"47",55907.2,0.002213,3e-04,"LOSCAR - this study"
"48",55906,0.002215,3e-04,"LOSCAR - this study"
"49",55904.7,0.002217,3e-04,"LOSCAR - this study"
"50",55903.3,0.002219,3e-04,"LOSCAR - this study"
"51",55901.7,0.002221,3e-04,"LOSCAR - this study"
"52",55900,0.002222,3e-04,"LOSCAR - this study"
"53",55898.3,0.002224,3e-04,"LOSCAR - this study"
"54",55896.4,0.002226,3e-04,"LOSCAR - this study"
"55",55894.5,0.002228,3e-04,"LOSCAR - this study"
"56",55892.4,0.00223,3e-04,"LOSCAR - this study"
"57",55890.8,0.002231,3e-04,"LOSCAR - this study"
"58",55889.2,0.002232,3e-04,"LOSCAR - this study"
"59",55887.3,0.002234,3e-04,"LOSCAR - this study"
"60",55885.1,0.002235,3e-04,"LOSCAR - this study"
"61",55883.7,0.002236,3e-04,"LOSCAR - this study"
"62",55882.4,0.002237,3e-04,"LOSCAR - this study"
"63",55880.9,0.002238,3e-04,"LOSCAR - this study"
"64",55879.1,0.002239,3e-04,"LOSCAR - this study"
"65",55877.3,0.00224,3e-04,"LOSCAR - this study"
"66",55875.5,0.002241,3e-04,"LOSCAR - this study"
"67",55873.4,0.002242,3e-04,"LOSCAR - this study"
"68",55871.1,0.002243,3e-04,"LOSCAR - this study"
"69",55868.7,0.002245,3e-04,"LOSCAR - this study"
"70",55866.4,0.002246,3e-04,"LOSCAR - this study"
"71",55864,0.002246,3e-04,"LOSCAR - this study"
"72",55861.7,0.002248,3e-04,"LOSCAR - this study"
"73",55859.3,0.002249,3e-04,"LOSCAR - this study"
"74",55856.9,0.00225,3e-04,"LOSCAR - this study"
"75",55854.5,0.002251,3e-04,"LOSCAR - this study"
"76",55852.1,0.002252,3e-04,"LOSCAR - this study"
"77",55849.7,0.002253,3e-04,"LOSCAR - this study"
"78",55847.2,0.002254,3e-04,"LOSCAR - this study"
"79",55844.7,0.002255,3e-04,"LOSCAR - this study"
"80",55842.2,0.002256,3e-04,"LOSCAR - this study"
"81",55839.6,0.002257,3e-04,"LOSCAR - this study"
"82",55836.9,0.002258,3e-04,"LOSCAR - this study"
"83",55834.2,0.002258,3e-04,"LOSCAR - this study"
"84",55831.4,0.002259,3e-04,"LOSCAR - this study"
"85",55828.6,0.00226,3e-04,"LOSCAR - this study"
"86",55825.7,0.002261,3e-04,"LOSCAR - this study"
"87",55822.7,0.002263,3e-04,"LOSCAR - this study"
"88",55819.6,0.002264,3e-04,"LOSCAR - this study"
"89",55816.4,0.002265,3e-04,"LOSCAR - this study"
"90",55813.1,0.002266,3e-04,"LOSCAR - this study"
"91",55809.6,0.002267,3e-04,"LOSCAR - this study"
"92",55806,0.002268,3e-04,"LOSCAR - this study"
"93",55805.1,0.002268,3e-04,"LOSCAR - this study"
"94",55804.8,0.002269,3e-04,"LOSCAR - this study"
"95",55804.5,0.002269,3e-04,"LOSCAR - this study"
"96",55804.2,0.002268,3e-04,"LOSCAR - this study"
"97",55803.7,0.002268,3e-04,"LOSCAR - this study"
"98",55803.1,0.002267,3e-04,"LOSCAR - this study"
"99",55802.2,0.002267,3e-04,"LOSCAR - this study"
"100",55801.3,0.002267,3e-04,"LOSCAR - this study"
"101",55800.2,0.002266,3e-04,"LOSCAR - this study"
"102",55799.1,0.002265,3e-04,"LOSCAR - this study"
"103",55797.9,0.002264,3e-04,"LOSCAR - this study"
"104",55796.7,0.002264,3e-04,"LOSCAR - this study"
"105",55795.4,0.002262,3e-04,"LOSCAR - this study"
"106",55795.1,0.002262,3e-04,"LOSCAR - this study"
"107",55794.9,0.00227,3e-04,"LOSCAR - this study"
"108",55794.6,0.002285,3e-04,"LOSCAR - this study"
"109",55794.3,0.002294,3e-04,"LOSCAR - this study"
"110",55793.9,0.002298,3e-04,"LOSCAR - this study"
"111",55793.4,0.002299,3e-04,"LOSCAR - this study"
"112",55793,0.002299,3e-04,"LOSCAR - this study"
"113",55792.5,0.002298,3e-04,"LOSCAR - this study"
"114",55791.8,0.002296,3e-04,"LOSCAR - this study"
"115",55791,0.002295,3e-04,"LOSCAR - this study"
"116",55790,0.002293,3e-04,"LOSCAR - this study"
"117",55788.9,0.002291,3e-04,"LOSCAR - this study"
"118",55787.7,0.002289,3e-04,"LOSCAR - this study"
"119",55786.5,0.002287,3e-04,"LOSCAR - this study"
"120",55785.4,0.002285,3e-04,"LOSCAR - this study"
"121",55784.3,0.002283,3e-04,"LOSCAR - this study"
"122",55783.2,0.002281,3e-04,"LOSCAR - this study"
"123",55782.2,0.002279,3e-04,"LOSCAR - this study"
"124",55781.2,0.002277,3e-04,"LOSCAR - this study"
"125",55780.3,0.002276,3e-04,"LOSCAR - this study"
"126",55779.4,0.002274,3e-04,"LOSCAR - this study"
"127",55778.5,0.002272,3e-04,"LOSCAR - this study"
"128",55777.6,0.002271,3e-04,"LOSCAR - this study"
"129",55776.8,0.002269,3e-04,"LOSCAR - this study"
"130",55775.9,0.002267,3e-04,"LOSCAR - this study"
"131",55775,0.002265,3e-04,"LOSCAR - this study"
"132",55774.6,0.002264,3e-04,"LOSCAR - this study"
"133",55774.3,0.002263,3e-04,"LOSCAR - this study"
"134",55773.7,0.002263,3e-04,"LOSCAR - this study"
"135",55772.9,0.002262,3e-04,"LOSCAR - this study"
"136",55771.9,0.002261,3e-04,"LOSCAR - this study"
"137",55770.8,0.002258,3e-04,"LOSCAR - this study"
"138",55769.5,0.002254,3e-04,"LOSCAR - this study"
"139",55768.1,0.002253,3e-04,"LOSCAR - this study"
"140",55766.7,0.002247,3e-04,"LOSCAR - this study"
"141",55765.2,0.002246,3e-04,"LOSCAR - this study"
"142",55763.8,0.002245,3e-04,"LOSCAR - this study"
"143",55762.4,0.002238,3e-04,"LOSCAR - this study"
"144",55760.9,0.002237,3e-04,"LOSCAR - this study"
"145",55759.5,0.002236,3e-04,"LOSCAR - this study"
"146",55758.1,0.00223,3e-04,"LOSCAR - this study"
"147",55756.7,0.002228,3e-04,"LOSCAR - this study"
"148",55755.3,0.002227,3e-04,"LOSCAR - this study"
"149",55755,0.002225,3e-04,"LOSCAR - this study"
"150",55754.7,0.002222,3e-04,"LOSCAR - this study"
"151",55754.2,0.002222,3e-04,"LOSCAR - this study"
"152",55753.8,0.002221,3e-04,"LOSCAR - this study"
"153",55753.2,0.00222,3e-04,"LOSCAR - this study"
"154",55752.4,0.00222,3e-04,"LOSCAR - this study"
"155",55751.5,0.00222,3e-04,"LOSCAR - this study"
"156",55750.4,0.00222,3e-04,"LOSCAR - this study"
"157",55749.2,0.00222,3e-04,"LOSCAR - this study"
"158",55747.9,0.002218,3e-04,"LOSCAR - this study"
"159",55746.5,0.002215,3e-04,"LOSCAR - this study"
"160",55744.9,0.00221,3e-04,"LOSCAR - this study"
"161",55743.1,0.00221,3e-04,"LOSCAR - this study"
"162",55741.3,0.00221,3e-04,"LOSCAR - this study"
"163",55739.5,0.00221,3e-04,"LOSCAR - this study"
"164",55737.3,0.002209,3e-04,"LOSCAR - this study"
"165",55735,0.002205,3e-04,"LOSCAR - this study"
"166",55732.5,0.002205,3e-04,"LOSCAR - this study"
"167",55731.9,0.002205,3e-04,"LOSCAR - this study"
"168",55731.2,0.002205,3e-04,"LOSCAR - this study"
"169",55730.3,0.002205,3e-04,"LOSCAR - this study"
"170",55729,0.002205,3e-04,"LOSCAR - this study"
"171",55727.1,0.0022,3e-04,"LOSCAR - this study"
"172",55724.7,0.0022,3e-04,"LOSCAR - this study"
"173",55721.9,0.0022,3e-04,"LOSCAR - this study"
"174",55718.8,0.002195,3e-04,"LOSCAR - this study"
"175",55715.9,0.002195,3e-04,"LOSCAR - this study"
"176",55712.7,0.002195,3e-04,"LOSCAR - this study"
"177",55709,0.002195,3e-04,"LOSCAR - this study"
"178",55705.3,0.002195,3e-04,"LOSCAR - this study"
"179",55700.7,0.002195,3e-04,"LOSCAR - this study"
"180",55695.5,0.002185,3e-04,"LOSCAR - this study"
"181",55690.3,0.002185,3e-04,"LOSCAR - this study"
"182",55685.1,0.002185,3e-04,"LOSCAR - this study"
"183",55685,0.002185,3e-04,"LOSCAR - this study"
"184",55185,0.002094,3e-04,"ZT19"
"185",54055,0.002064,3e-04,"LOSCAR - this study"
"186",54055,0.002064,3e-04,"LOSCAR - this study"
"187",54055,0.002064,3e-04,"LOSCAR - this study"
"188",54055,0.002064,3e-04,"LOSCAR - this study"
"189",54054.8,0.002065,3e-04,"LOSCAR - this study"
"190",54054.7,0.002066,3e-04,"LOSCAR - this study"
"191",54054.5,0.002067,3e-04,"LOSCAR - this study"
"192",54054.2,0.002068,3e-04,"LOSCAR - this study"
"193",54053.9,0.00207,3e-04,"LOSCAR - this study"
"194",54053.4,0.002072,3e-04,"LOSCAR - this study"
"195",54053,0.002075,3e-04,"LOSCAR - this study"
"196",54052.6,0.002077,3e-04,"LOSCAR - this study"
"197",54052.2,0.002079,3e-04,"LOSCAR - this study"
"198",54051.8,0.002081,3e-04,"LOSCAR - this study"
"199",54051.6,0.002083,3e-04,"LOSCAR - this study"
"200",54051.3,0.002084,3e-04,"LOSCAR - this study"
"201",54051,0.002087,3e-04,"LOSCAR - this study"
"202",54050.6,0.00209,3e-04,"LOSCAR - this study"
"203",54050.1,0.002093,3e-04,"LOSCAR - this study"
"204",54049.7,0.002096,3e-04,"LOSCAR - this study"
"205",54049.6,0.002097,3e-04,"LOSCAR - this study"
"206",54049.4,0.002098,3e-04,"LOSCAR - this study"
"207",54049.3,0.002099,3e-04,"LOSCAR - this study"
"208",54049.1,0.0021,3e-04,"LOSCAR - this study"
"209",54048.9,0.002102,3e-04,"LOSCAR - this study"
"210",54048.5,0.002105,3e-04,"LOSCAR - this study"
"211",54048.2,0.002107,3e-04,"LOSCAR - this study"
"212",54047.9,0.00211,3e-04,"LOSCAR - this study"
"213",54047.5,0.002113,3e-04,"LOSCAR - this study"
"214",54047.2,0.002115,3e-04,"LOSCAR - this study"
"215",54047,0.002117,3e-04,"LOSCAR - this study"
"216",54046.7,0.002119,3e-04,"LOSCAR - this study"
"217",54046.4,0.002122,3e-04,"LOSCAR - this study"
"218",54046,0.002125,3e-04,"LOSCAR - this study"
"219",54045.6,0.002129,3e-04,"LOSCAR - this study"
"220",54045.1,0.002133,3e-04,"LOSCAR - this study"
"221",54044.7,0.002137,3e-04,"LOSCAR - this study"
"222",54044.3,0.00214,3e-04,"LOSCAR - this study"
"223",54043.9,0.002144,3e-04,"LOSCAR - this study"
"224",54043.5,0.002147,3e-04,"LOSCAR - this study"
"225",54043,0.002151,3e-04,"LOSCAR - this study"
"226",54042.5,0.002156,3e-04,"LOSCAR - this study"
"227",54041.9,0.002161,3e-04,"LOSCAR - this study"
"228",54041.4,0.002166,3e-04,"LOSCAR - this study"
"229",54040.7,0.002172,3e-04,"LOSCAR - this study"
"230",54040.1,0.002178,3e-04,"LOSCAR - this study"
"231",54039.4,0.002185,3e-04,"LOSCAR - this study"
"232",54038.7,0.002191,3e-04,"LOSCAR - this study"
"233",54037.9,0.002198,3e-04,"LOSCAR - this study"
"234",54037.2,0.002205,3e-04,"LOSCAR - this study"
"235",54036.5,0.002212,3e-04,"LOSCAR - this study"
"236",54035.8,0.002219,3e-04,"LOSCAR - this study"
"237",54035,0.002226,3e-04,"LOSCAR - this study"
"238",54035,0.002226,3e-04,"LOSCAR - this study"
"239",54035,0.002226,3e-04,"LOSCAR - this study"
"240",54035,0.002226,3e-04,"LOSCAR - this study"
"241",54035,0.002226,3e-04,"LOSCAR - this study"
"242",54034.9,0.002226,3e-04,"LOSCAR - this study"
"243",54034.9,0.002226,3e-04,"LOSCAR - this study"
"244",54034.9,0.002226,3e-04,"LOSCAR - this study"
"245",54034.8,0.002227,3e-04,"LOSCAR - this study"
"246",54034.7,0.002227,3e-04,"LOSCAR - this study"
"247",54034.5,0.002228,3e-04,"LOSCAR - this study"
"248",54034.2,0.00223,3e-04,"LOSCAR - this study"
"249",54033.9,0.002231,3e-04,"LOSCAR - this study"
"250",54033.5,0.002233,3e-04,"LOSCAR - this study"
"251",54033.1,0.002235,3e-04,"LOSCAR - this study"
"252",54032.7,0.002237,3e-04,"LOSCAR - this study"
"253",54032.2,0.002239,3e-04,"LOSCAR - this study"
"254",54031.8,0.002241,3e-04,"LOSCAR - this study"
"255",54031.3,0.002243,3e-04,"LOSCAR - this study"
"256",54030.8,0.002244,3e-04,"LOSCAR - this study"
"257",54030.5,0.002245,3e-04,"LOSCAR - this study"
"258",54030.2,0.002246,3e-04,"LOSCAR - this study"
"259",54029.8,0.002247,3e-04,"LOSCAR - this study"
"260",54029.3,0.002249,3e-04,"LOSCAR - this study"
"261",54028.7,0.00225,3e-04,"LOSCAR - this study"
"262",54028.2,0.002252,3e-04,"LOSCAR - this study"
"263",54027.6,0.002253,3e-04,"LOSCAR - this study"
"264",54027,0.002254,3e-04,"LOSCAR - this study"
"265",54026.3,0.002255,3e-04,"LOSCAR - this study"
"266",54026,0.002256,3e-04,"LOSCAR - this study"
"267",54025.6,0.002256,3e-04,"LOSCAR - this study"
"268",54025.1,0.002257,3e-04,"LOSCAR - this study"
"269",54024.4,0.002258,3e-04,"LOSCAR - this study"
"270",54023.8,0.002258,3e-04,"LOSCAR - this study"
"271",54023,0.002259,3e-04,"LOSCAR - this study"
"272",54022.3,0.002259,3e-04,"LOSCAR - this study"
"273",54021.5,0.00226,3e-04,"LOSCAR - this study"
"274",54020.7,0.00226,3e-04,"LOSCAR - this study"
"275",54019.9,0.00226,3e-04,"LOSCAR - this study"
"276",54018.9,0.00226,3e-04,"LOSCAR - this study"
"277",54018,0.00226,3e-04,"LOSCAR - this study"
"278",54016.9,0.00226,3e-04,"LOSCAR - this study"
"279",54015.8,0.002259,3e-04,"LOSCAR - this study"
"280",54014.5,0.002259,3e-04,"LOSCAR - this study"
"281",54013.1,0.002258,3e-04,"LOSCAR - this study"
"282",54011.4,0.002257,3e-04,"LOSCAR - this study"
"283",54010.5,0.002256,3e-04,"LOSCAR - this study"
"284",54009.7,0.002255,3e-04,"LOSCAR - this study"
"285",54008.4,0.002254,3e-04,"LOSCAR - this study"
"286",54006.9,0.002252,3e-04,"LOSCAR - this study"
"287",54005.2,0.00225,3e-04,"LOSCAR - this study"
"288",54003.5,0.002248,3e-04,"LOSCAR - this study"
"289",54001.8,0.002246,3e-04,"LOSCAR - this study"
"290",54000.1,0.002244,3e-04,"LOSCAR - this study"
"291",53998.6,0.002242,3e-04,"LOSCAR - this study"
"292",53997,0.00224,3e-04,"LOSCAR - this study"
"293",53995.5,0.002238,3e-04,"LOSCAR - this study"
"294",53993.9,0.002236,3e-04,"LOSCAR - this study"
"295",53992.4,0.002233,3e-04,"LOSCAR - this study"
"296",53990.9,0.002231,3e-04,"LOSCAR - this study"
"297",53989.5,0.002229,3e-04,"LOSCAR - this study"
"298",53988,0.002227,3e-04,"LOSCAR - this study"
"299",53986.5,0.002225,3e-04,"LOSCAR - this study"
"300",53985.1,0.002223,3e-04,"LOSCAR - this study"
"301",53983.7,0.002221,3e-04,"LOSCAR - this study"
"302",53982.2,0.002218,3e-04,"LOSCAR - this study"
"303",53980.8,0.002216,3e-04,"LOSCAR - this study"
"304",53979.1,0.002214,3e-04,"LOSCAR - this study"
"305",53977.6,0.002212,3e-04,"LOSCAR - this study"
"306",53976.2,0.002209,3e-04,"LOSCAR - this study"
"307",53974.5,0.002207,3e-04,"LOSCAR - this study"
"308",53973.1,0.002205,3e-04,"LOSCAR - this study"
"309",53971.5,0.002202,3e-04,"LOSCAR - this study"
"310",53970,0.0022,3e-04,"LOSCAR - this study"
"311",53968.4,0.002198,3e-04,"LOSCAR - this study"
"312",53966.9,0.002196,3e-04,"LOSCAR - this study"
"313",53965.4,0.002193,3e-04,"LOSCAR - this study"
"314",53963.7,0.002191,3e-04,"LOSCAR - this study"
"315",53962.2,0.002189,3e-04,"LOSCAR - this study"
"316",53960.9,0.002187,3e-04,"LOSCAR - this study"
"317",53959.3,0.002184,3e-04,"LOSCAR - this study"
"318",53957.6,0.002182,3e-04,"LOSCAR - this study"
"319",53955.9,0.002179,3e-04,"LOSCAR - this study"
"320",53955,0.002178,3e-04,"LOSCAR - this study"
"321",53900,0.002116,3e-04,"ZT19"
"322",50000,0.002182,3e-04,"ZT19"
