time,mgca,mgcap,mgcam
-166,3.63,3.7389,3.5211
-53,3.53,3.6359,3.4241
-44,3.31,3.4093,3.2107
-44,3.45,3.5535,3.3465
-44,3.55,3.6565,3.4435
-44,3.59,3.6977,3.4823
-44,3.70,3.811,3.589
-37,3.51,3.6153,3.4047
-33,3.45,3.5535,3.3465
-33,3.58,3.6874,3.4726
-33,4.09,4.2127,3.9673
-21,3.53,3.6359,3.4241
-17,3.54,3.6462,3.4338
-15,3.33,3.4299,3.2301
-15,3.33,3.4299,3.2301
-15,3.59,3.6977,3.4823
-13,3.13,3.2239,3.0361
-13,3.21,3.3063,3.1137
-13,3.40,3.502,3.298
-11,3.35,3.4505,3.2495
-11,3.81,3.9243,3.6957
-9,3.72,3.8316,3.6084
-7,3.53,3.6359,3.4241
6,4.70,4.841,4.559
6,5.04,5.1912,4.8888
9,4.69,4.8307,4.5493
12,5.40,5.562,5.238
20,5.37,5.5311,5.2089
23,5.49,5.6547,5.3253
26,4.83,4.9749,4.6851
43,5.09,5.2427,4.9373
52,5.28,5.4384,5.1216
61,4.83,4.9749,4.6851
69,5.46,5.6238,5.2962
77,5.02,5.1706,4.8694
77,5.10,5.253,4.947
78,5.01,5.1603,4.8597
82,4.86,5.0058,4.7142
82,5.22,5.3766,5.0634
88,4.79,4.9337,4.6463
89,4.72,4.8616,4.5784
89,4.72,4.8616,4.5784
92,4.44,4.5732,4.3068
96,4.88,5.0264,4.7336
97,4.51,4.6453,4.3747
107,4.02,4.1406,3.8994
107,4.13,4.2539,4.0061
121,3.95,4.0685,3.8315
134,3.46,3.5638,3.3562
134,3.71,3.8213,3.5987
141,4.23,4.3569,4.1031
143,4.08,4.2024,3.9576
161,3.88,3.9964,3.7636
164,4.30,4.429,4.171
176,3.86,3.9758,3.7442
186,3.99,4.1097,3.8703
199,3.69,3.8007,3.5793
216,4.35,4.4805,4.2195
218,3.65,3.7595,3.5405
228,3.78,3.8934,3.6666
236,3.71,3.8213,3.5987
236,3.71,3.8213,3.5987
236,4.21,4.3363,4.0837
244,3.94,4.0582,3.8218