time,salinity ,temp (C),press (bar),[Ca],[Mg],[SO4],d11Bsw,d18Osw,pCO2,DIC
0,35,25,0,17,36,14,38.45,-1,900,2100
0.255635312,35,25.20602999,0,17,36,14,38.45,-1,928.9886124,2100
0.51479686,35,25.52189416,0,17,36,14,38.45,-1,970.9060949,2100
0.859411907,35,25.95399664,0,17,36,14,38.45,-1,1030.738619,2100
1.147176163,35,26.30555664,0,17,36,14,38.45,-1,1082.180644,2100
1.437684813,35,26.65688409,0,17,36,14,38.45,-1,1136.199228,2100
1.74317223,35,27.02666086,0,17,36,14,38.45,-1,1195.931471,2100
2.029506429,35,27.37025321,0,17,36,14,38.45,-1,1254.253391,2100
2.315009634,35,27.71076616,0,17,36,14,38.45,-1,1314.813782,2100
2.584341514,35,28.02540122,0,17,36,14,38.45,-1,1373.337327,2100
2.852939411,35,28.3304025,0,17,36,14,38.45,-1,1432.497965,2100
3.233802358,35,28.74634253,0,17,36,14,38.45,-1,1517.258135,2100
3.511460136,35,29.03625041,0,17,36,14,38.45,-1,1579.340381,2100
3.769579762,35,29.29649968,0,17,36,14,38.45,-1,1637.219519,2100
4.03124309,35,29.55205011,0,17,36,14,38.45,-1,1696.120171,2100
4.410586597,35,29.90882876,0,17,36,14,38.45,-1,1781.821228,2100
4.717111333,35,30.18479262,0,17,36,14,38.45,-1,1851.228305,2100
5.011476211,35,30.44131759,0,17,36,14,38.45,-1,1918.110055,2100
5.313320038,35,30.69578548,0,17,36,14,38.45,-1,1986.819524,2100
5.642219915,35,30.96267926,0,17,36,14,38.45,-1,2061.515755,2100
5.898069175,35,31.16308171,0,17,36,14,38.45,-1,2119.42036,2100
6.178669928,35,31.2702081,0,17,36,14,38.45,-1,2146.917835,2100
6.482174465,35,31.27067687,0,17,36,14,38.45,-1,2146.455614,2100
6.874816438,35,31.24071508,0,17,36,14,38.45,-1,2137.237774,2100
7.212721633,35,31.20495956,0,17,36,14,38.45,-1,2126.596121,2100
7.650245539,35,31.15655195,0,17,36,14,38.45,-1,2112.378723,2100
7.925720971,35,31.12708521,0,17,36,14,38.45,-1,2103.791717,2100
8.244139979,35,31.09470718,0,17,36,14,38.45,-1,2094.40357,2100
8.637801163,35,31.0573471,0,17,36,14,38.45,-1,2083.624663,2100
9.119131253,35,31.01549166,0,17,36,14,38.45,-1,2071.614723,2100
9.610662059,35,30.9766072,0,17,36,14,38.45,-1,2060.520684,2100
9.921973813,35,30.95375472,0,17,36,14,38.45,-1,2054.033571,2100
10.21340778,35,30.93350412,0,17,36,14,38.45,-1,2048.297274,2100
10.5510413,35,30.91129327,0,17,36,14,38.45,-1,2042.021255,2100
10.96168692,35,30.88593183,0,17,36,14,38.45,-1,2034.877162,2100
11.53208626,35,30.85338751,0,17,36,14,38.45,-1,2025.743413,2100
12.22349372,35,30.81761193,0,17,36,14,38.45,-1,2015.749719,2100
12.98600266,35,30.78216032,0,17,36,14,38.45,-1,2005.895233,2100
13.79714774,35,30.7483957,0,17,36,14,38.45,-1,1996.554269,2100
14.65250861,35,30.7165937,0,17,36,14,38.45,-1,1987.795639,2100
15.55363944,35,30.68676268,0,17,36,14,38.45,-1,1979.614433,2100
16.49663169,35,30.65907621,0,17,36,14,38.45,-1,1972.051405,2100
17.47960813,35,30.63361662,0,17,36,14,38.45,-1,1965.122507,2100
18.47680014,35,30.61089075,0,17,36,14,38.45,-1,1958.958275,2100
19.50811819,35,30.59031121,0,17,36,14,38.45,-1,1953.392945,2100
20.57759757,35,30.57176305,0,17,36,14,38.45,-1,1948.390761,2100
21.68852265,35,30.55518131,0,17,36,14,38.45,-1,1943.930184,2100
22.8357711,35,30.54060177,0,17,36,14,38.45,-1,1940.017142,2100
24.02809541,35,30.5278879,0,17,36,14,38.45,-1,1936.611792,2100
25.26930404,35,30.5170003,0,17,36,14,38.45,-1,1933.701149,2100
26.47601894,35,30.50845199,0,17,36,14,38.45,-1,1931.419931,2100
27.69273246,35,30.50162131,0,17,36,14,38.45,-1,1929.599767,2100
28.92699968,35,30.49635004,0,17,36,14,38.45,-1,1928.197163,2100
30.19727451,35,30.49247832,0,17,36,14,38.45,-1,1927.168813,2100
31.51209673,35,30.48995341,0,17,36,14,38.45,-1,1926.500149,2100
32.88179871,35,30.48872092,0,17,36,14,38.45,-1,1926.176076,2100
34.37307161,35,30.48888055,0,17,36,14,38.45,-1,1926.223718,2100
35.96400676,35,30.490537,0,17,36,14,38.45,-1,1926.670747,2100
37.64537988,35,30.49379698,0,17,36,14,38.45,-1,1927.545992,2100
39.38823338,35,30.49859914,0,17,36,14,38.45,-1,1928.833898,2100
41.14333526,35,30.5046018,0,17,36,14,38.45,-1,1930.443093,2100
43.07187829,35,30.51252806,0,17,36,14,38.45,-1,1932.568714,2100
44.97900762,35,30.52148162,0,17,36,14,38.45,-1,1934.971972,2100
46.82354611,35,30.53102205,0,17,36,14,38.45,-1,1937.535323,2100
48.59228123,35,30.54090058,0,17,36,14,38.45,-1,1940.192377,2100
49.81559053,35,30.54812722,0,17,36,14,38.45,-1,1942.138715,2100
51.05475619,35,30.55570022,0,17,36,14,38.45,-1,1944.180172,2100
52.42246121,35,30.56436449,0,17,36,14,38.45,-1,1946.517671,2100
53.99960531,35,30.57471442,0,17,36,14,38.45,-1,1949.31333,2100
55.66154073,35,30.58593776,0,17,36,14,38.45,-1,1952.349236,2100
57.36785226,35,30.59780456,0,17,36,14,38.45,-1,1955.564337,2100
59.09681791,35,30.61012242,0,17,36,14,38.45,-1,1958.907231,2100
60.842869,35,30.62282209,0,17,36,14,38.45,-1,1962.359655,2100
62.60584601,35,30.63587342,0,17,36,14,38.45,-1,1965.913926,2100
64.38780814,35,30.64926527,0,17,36,14,38.45,-1,1969.567522,2100
66.19157234,35,30.66299406,0,17,36,14,38.45,-1,1973.320005,2100
67.96690379,35,30.67665052,0,17,36,14,38.45,-1,1977.059782,2100
69.74058378,35,30.69041431,0,17,36,14,38.45,-1,1980.83606,2100
71.52786446,35,30.70438466,0,17,36,14,38.45,-1,1984.676304,2100
73.33709209,35,30.71861081,0,17,36,14,38.45,-1,1988.594444,2100
75.17388793,35,30.73312279,0,17,36,14,38.45,-1,1992.599213,2100
77.04280649,35,30.74794345,0,17,36,14,38.45,-1,1996.697435,2100
78.94813354,35,30.76309428,0,17,36,14,38.45,-1,2000.895618,2100
80.89446246,35,30.7785998,0,17,36,14,38.45,-1,2005.201178,2100
82.88644632,35,30.79448521,0,17,36,14,38.45,-1,2009.621788,2100
84.92921836,35,30.81077951,0,17,36,14,38.45,-1,2014.166269,2100
87.02853204,35,30.82751617,0,17,36,14,38.45,-1,2018.844782,2100
89.19212589,35,30.84474384,0,17,36,14,38.45,-1,2023.671853,2100
91.42696069,35,30.86250479,0,17,36,14,38.45,-1,2028.66039,2100
93.74090602,35,30.88084757,0,17,36,14,38.45,-1,2033.825214,2100
96.14328255,35,30.89982326,0,17,36,14,38.45,-1,2039.18204,2100
98.640032,35,30.91947347,0,17,36,14,38.45,-1,2044.74411,2100
101.2459393,35,30.93989078,0,17,36,14,38.45,-1,2050.539342,2100
103.9643202,35,30.96108001,0,17,36,14,38.45,-1,2056.571015,2100
106.7030046,35,30.98230747,0,17,36,14,38.45,-1,2062.631537,2100
109.4034552,35,31.00312798,0,17,36,14,38.45,-1,2068.593434,2100
112.0323293,35,31.0232754,0,17,36,14,38.45,-1,2074.379082,2100
114.5694045,35,31.04260671,0,17,36,14,38.45,-1,2079.945661,2100
117.0109527,35,31.06110519,0,17,36,14,38.45,-1,2085.286497,2100
119.3583886,35,31.07879682,0,17,36,14,38.45,-1,2090.407153,2100
121.616564,35,31.09571654,0,17,36,14,38.45,-1,2095.316129,2100
123.7921047,35,31.11192335,0,17,36,14,38.45,-1,2100.02906,2100
125.8927044,35,31.12748402,0,17,36,14,38.45,-1,2104.564042,2100
127.9258898,35,31.14246308,0,17,36,14,38.45,-1,2108.938752,2100
129.8974924,35,31.15691163,0,17,36,14,38.45,-1,2113.167123,2100
130.1747972,35,31.14645331,0,17,36,14,38.45,-1,2109.616699,2100
130.462121,35,31.12465551,0,17,36,14,38.45,-1,2103.257547,2100
130.7207124,35,31.10516785,0,17,36,14,38.45,-1,2097.584514,2100
131.1085995,35,31.07617632,0,17,36,14,38.45,-1,2089.173113,2100
131.6433185,35,31.03684784,0,17,36,14,38.45,-1,2077.816552,2100
132.2583501,35,30.99245667,0,17,36,14,38.45,-1,2065.07281,2100
132.9403125,35,30.94412252,0,17,36,14,38.45,-1,2051.285623,2100
133.7263458,35,30.88933872,0,17,36,14,38.45,-1,2035.767117,2100
134.7023699,35,30.82242331,0,17,36,14,38.45,-1,2016.965394,2100
135.8390806,35,30.74574576,0,17,36,14,38.45,-1,1995.633635,2100
137.0916341,35,30.66248965,0,17,36,14,38.45,-1,1972.728893,2100
138.3322614,35,30.58106062,0,17,36,14,38.45,-1,1950.588575,2100
139.5136639,35,30.50429926,0,17,36,14,38.45,-1,1929.949156,2100
139.7917002,35,30.48620769,0,17,36,14,38.45,-1,1925.157447,2100
140.0521445,35,30.49506965,0,17,36,14,38.45,-1,1930.906345,2100
140.3871411,35,30.58167443,0,17,36,14,38.45,-1,1951.663342,2100
140.7498269,35,30.59414488,0,17,36,14,38.45,-1,1954.516274,2100
141.1464826,35,30.58556119,0,17,36,14,38.45,-1,1952.028011,2100
141.4167566,35,30.57526543,0,17,36,14,38.45,-1,1949.201069,2100
141.7463697,35,30.56058683,0,17,36,14,38.45,-1,1945.210351,2100
142.1817455,35,30.53925526,0,17,36,14,38.45,-1,1939.444176,2100
142.7375144,35,30.51016204,0,17,36,14,38.45,-1,1931.619182,2100
143.430155,35,30.47211386,0,17,36,14,38.45,-1,1921.441064,2100
144.3613809,35,30.41902844,0,17,36,14,38.45,-1,1907.333403,2100
145.3997363,35,30.3583428,0,17,36,14,38.45,-1,1891.341246,2100
146.4764155,35,30.29449067,0,17,36,14,38.45,-1,1874.666,2100
147.5236964,35,30.2318938,0,17,36,14,38.45,-1,1858.466861,2100
148.5207316,35,30.1720734,0,17,36,14,38.45,-1,1843.119929,2100
149.4261847,35,30.11765864,0,17,36,14,38.45,-1,1829.272666,2100
150.2615775,35,30.06743672,0,17,36,14,38.45,-1,1816.584691,2100
151.0386,35,30.02073676,0,17,36,14,38.45,-1,1804.865108,2100
151.7647222,35,29.9771223,0,17,36,14,38.45,-1,1793.987846,2100
152.2708229,35,29.94674111,0,17,36,14,38.45,-1,1786.454804,2100
152.735598,35,29.9188668,0,17,36,14,38.45,-1,1779.567169,2100
153.2533732,35,29.88784257,0,17,36,14,38.45,-1,1771.929503,2100
153.7469851,35,29.85828489,0,17,36,14,38.45,-1,1764.684365,2100
154.2703215,35,29.8269782,0,17,36,14,38.45,-1,1757.041945,2100
154.5696758,35,29.80907443,0,17,36,14,38.45,-1,1752.690419,2100
154.9141638,35,29.78849511,0,17,36,14,38.45,-1,1747.697502,2100
155.3151118,35,29.76457248,0,17,36,14,38.45,-1,1741.910553,2100
155.7496043,35,29.73866913,0,17,36,14,38.45,-1,1735.666106,2100
156.253484,35,29.70865682,0,17,36,14,38.45,-1,1728.458451,2100
156.8515422,35,29.67303113,0,17,36,14,38.45,-1,1719.940477,2100
157.6162639,35,29.62750364,0,17,36,14,38.45,-1,1709.114389,2100
158.6115418,35,29.56825809,0,17,36,14,38.45,-1,1695.125718,2100
159.7375098,35,29.50118498,0,17,36,14,38.45,-1,1679.42944,2100
160.899379,35,29.43187519,0,17,36,14,38.45,-1,1663.366417,2100
161.5639179,35,29.39210743,0,17,36,14,38.45,-1,1654.23821,2100
162.194129,35,29.35441877,0,17,36,14,38.45,-1,1645.621687,2100
162.9937116,35,29.30656899,0,17,36,14,38.45,-1,1634.73752,2100
163.8916553,35,29.25274835,0,17,36,14,38.45,-1,1622.581405,2100
164.8234639,35,29.19681969,0,17,36,14,38.45,-1,1610.047039,2100
165.7508247,35,29.14102633,0,17,36,14,38.45,-1,1597.641206,2100
166.6526707,35,29.08664706,0,17,36,14,38.45,-1,1585.642728,2100
167.5057952,35,29.03507309,0,17,36,14,38.45,-1,1574.347266,2100
168.3110141,35,28.98630462,0,17,36,14,38.45,-1,1563.740448,2100
169.070104,35,28.94023484,0,17,36,14,38.45,-1,1553.786386,2100
169.4392845,35,28.91778936,0,17,36,14,38.45,-1,1548.968456,2100
169.7902538,35,28.89644691,0,17,36,14,38.45,-1,1544.393751,2100
170.1622085,35,28.87381094,0,17,36,14,38.45,-1,1539.554774,2100
170.5283674,35,28.85150642,0,17,36,14,38.45,-1,1534.801566,2100
170.8913135,35,28.82937866,0,17,36,14,38.45,-1,1530.100522,2100
171.3659499,35,28.80040146,0,17,36,14,38.45,-1,1523.964011,2100
171.9363147,35,28.76555689,0,17,36,14,38.45,-1,1516.617807,2100
172.6516626,35,28.72181833,0,17,36,14,38.45,-1,1507.445644,2100
173.1409801,35,28.69189147,0,17,36,14,38.45,-1,1501.208793,2100
173.6309177,35,28.66190942,0,17,36,14,38.45,-1,1494.982864,2100
174.1923881,35,28.62753276,0,17,36,14,38.45,-1,1487.87374,2100
174.878543,35,28.58546037,0,17,36,14,38.45,-1,1479.217477,2100
175.7826532,35,28.52995065,0,17,36,14,38.45,-1,1467.870995,2100
176.8633848,35,28.46340369,0,17,36,14,38.45,-1,1454.383366,2100
178.0623583,35,28.38932756,0,17,36,14,38.45,-1,1439.517106,2100
179.2861816,35,28.31344809,0,17,36,14,38.45,-1,1424.450296,2100
179.8879816,35,28.27592206,0,17,36,14,38.45,-1,1417.07895,2100
180.1876764,35,28.27306082,0,17,36,14,38.45,-1,1416.876897,2100
180.4562943,35,28.27919068,0,17,36,14,38.45,-1,1418.057623,2100
181.0606845,35,28.28952569,0,17,36,14,38.45,-1,1420.069604,2100
181.5678214,35,28.29658022,0,17,36,14,38.45,-1,1421.450569,2100
182.3285269,35,28.30559731,0,17,36,14,38.45,-1,1423.220174,2100
183.2485636,35,28.31479921,0,17,36,14,38.45,-1,1425.029864,2100
184.3818337,35,28.32427731,0,17,36,14,38.45,-1,1426.897236,2100
185.4101608,35,28.33143663,0,17,36,14,38.45,-1,1428.309589,2100
186.5435085,35,28.33800005,0,17,36,14,38.45,-1,1429.605142,2100
187.7585015,35,28.34364113,0,17,36,14,38.45,-1,1430.719186,2100
189.0591559,35,28.34824703,0,17,36,14,38.45,-1,1431.628855,2100
190.459159,35,28.35173286,0,17,36,14,38.45,-1,1432.316855,2100
191.9378623,35,28.35392482,0,17,36,14,38.45,-1,1432.748443,2100
193.5285232,35,28.35482526,0,17,36,14,38.45,-1,1432.924028,2100
195.2463714,35,28.35423762,0,17,36,14,38.45,-1,1432.804217,2100
197.1673499,35,28.35186857,0,17,36,14,38.45,-1,1432.330625,2100
199.2267833,35,28.34760877,0,17,36,14,38.45,-1,1431.48168,2100
201.3651416,35,28.34178299,0,17,36,14,38.45,-1,1430.323272,2100
203.0588621,35,28.33605782,0,17,36,14,38.45,-1,1429.186563,2100
203.6214061,35,28.3340793,0,17,36,14,38.45,-1,1428.794455,2100
204.1442899,35,28.33211248,0,17,36,14,38.45,-1,1428.404693,2100
204.9286156,35,28.3290736,0,17,36,14,38.45,-1,1427.802456,2100
206.1051042,35,28.32416594,0,17,36,14,38.45,-1,1426.829842,2100
207.5609984,35,28.31774334,0,17,36,14,38.45,-1,1425.558113,2100
209.2232908,35,28.31000886,0,17,36,14,38.45,-1,1424.029001,2100
211.0041423,35,28.30126732,0,17,36,14,38.45,-1,1422.303745,2100
213.1836933,35,28.28994919,0,17,36,14,38.45,-1,1420.072853,2100
216.0669242,35,28.27416113,0,17,36,14,38.45,-1,1416.966488,2100
219.5737183,35,28.25387552,0,17,36,14,38.45,-1,1412.985315,2100
223.658573,35,28.22913006,0,17,36,14,38.45,-1,1408.144147,2100
227.6928421,35,28.20380897,0,17,36,14,38.45,-1,1403.20857,2100
231.6562739,35,28.17830481,0,17,36,14,38.45,-1,1398.255374,2100
235.5792997,35,28.15262015,0,17,36,14,38.45,-1,1393.285061,2100
239.4888715,35,28.12671671,0,17,36,14,38.45,-1,1388.290454,2100
243.4086052,35,28.10054006,0,17,36,14,38.45,-1,1383.261447,2100
247.3555638,35,28.07404786,0,17,36,14,38.45,-1,1378.190403,2100
250,35,28.0562511,0,17,36,14,38.45,-1,1374.796015,2100